| Algorithm          | prob      | n     | t                      | n_it   | f_opt                   | g_norm                 | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
| NESTEROV-bs_lbfgs  | CLPLATEB  | 4970  | 0.01266622543334961    | 4      | -0.0001383028979968505  | 0.0008566225162469762  | 13       | 6        | 1        | --        | --       |
| NESTEROV-bs_Newton | CLPLATEB  | 4970  | 0.06185293197631836    | 8      | -0.0001848066675744285  | 0.0007779878647288662  | 92       | 9        | 0        | --        | --       |
| scipy_lbfgs        | CLPLATEB  | 4970  | 0.018143177032470703   | 2      | -0.0001261852420210387  | 0.0007400626523288994  | 5        | 5        | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | CLPLATEC  | 4970  | 0.0036966800689697266  | 0      | 0.0                     | 0.09900505037623081    | 1        | 2        | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | CLPLATEC  | 4970  | 1.764854907989502      | 370    | -8.010856156803726e-05  | 0.0009667921401874022  | 2210     | 372      | 74       | --        | --       |
| NESTEROV-bs_dfbox1 | CLPLATEC  | 4970  | 28.659709215164185     | 5000   | -0.0005535244671562662  | 0.014886804180889758   | 34428    | 21013    | 1000     | --        | --       |
| NESTEROV-bs_lbfgs  | CLPLATEC  | 4970  | 1.3091304302215576     | 434    | -8.227637594918812e-05  | 0.0009494840086473231  | 2539     | 436      | 69       | --        | --       |
| NESTEROV-bs_Newton | CLPLATEC  | 4970  | 26.16102361679077      | 5000   | -5.336218359151339e-05  | 0.00235955053301168    | 54302    | 5001     | 0        | --        | --       |
| scipy_lbfgs        | CLPLATEC  | 4970  | 7.875544548034668      | 5000   | -0.00401897974443495    | 0.010285066707587434   | 5132     | 5132     | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | COSINE    | 10000 | 0.06968832015991211    | 19     | -9998.999999999918      | 9.843596658460196e-05  | 51       | 39       | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | COSINE    | 10000 | 0.03183293342590332    | 6      | -9998.999999999998      | 5.5603675864157307e-05 | 53       | 8        | 1        | --        | --       |
| NESTEROV-bs_dfbox1 | COSINE    | 10000 | 266.0313997268677      | 5000   | -9998.999999999976      | 2.256022029669191      | 185672   | 21147    | 998      | --        | --       |
| NESTEROV-bs_lbfgs  | COSINE    | 10000 | 0.05330491065979004    | 6      | -9998.999999933632      | 0.00024113183296839573 | 55       | 8        | 1        | --        | --       |
| NESTEROV-bs_Newton | COSINE    | 10000 | 0.10930609703063965    | 10     | -9998.999999868127      | 0.0007081626182463189  | 128      | 11       | 0        | --        | --       |
| scipy_lbfgs        | COSINE    | 10000 | 0.06791996955871582    | 9      | -9998.999999997803      | 0.00013859219885436656 | 18       | 18       | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | CRAGGLVY  | 5000  | 22.088783740997314     | 5000   | 1688.2160598472844      | 0.06406048960195435    | 10004    | 10001    | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | CRAGGLVY  | 5000  | 0.9272804260253906     | 137    | 1688.215310133847       | 0.0008363867336944864  | 1045     | 139      | 18       | --        | --       |
| NESTEROV-bs_dfbox1 | CRAGGLVY  | 5000  | 2.2777836322784424     | 113    | 1688.2153099943762      | 0.0009301674049571318  | 959      | 962      | 13       | --        | --       |
| NESTEROV-bs_lbfgs  | CRAGGLVY  | 5000  | 0.9598793983459473     | 102    | 1688.2153105498849      | 0.0008423151126451117  | 1031     | 104      | 5        | --        | --       |
| NESTEROV-bs_Newton | CRAGGLVY  | 5000  | 1.8767712116241455     | 185    | 1688.2153103703456      | 0.0009065276216808985  | 2256     | 186      | 0        | --        | --       |
| scipy_lbfgs        | CRAGGLVY  | 5000  | 0.22708702087402344    | 60     | 1688.2153103076514      | 0.00082827266772823    | 73       | 73       | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | CURLY10   | 10000 | 20.185101985931396     | 5000   | -1003161.374719036      | 0.1321097755518047     | 10003    | 10001    | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | CURLY10   | 10000 | 18.505804538726807     | 5000   | -1003160.8727494781     | 0.035319037525311625   | 22337    | 5002     | 992      | --        | --       |
| NESTEROV-bs_dfbox1 | CURLY10   | 10000 | 42.4959602355957       | 5000   | -1003160.2819445732     | 0.2286957840100462     | 43925    | 38841    | 623      | --        | --       |
| NESTEROV-bs_lbfgs  | CURLY10   | 10000 | 22.165067672729492     | 5000   | -1003159.0140956279     | 0.04948581748384662    | 51460    | 5002     | 0        | --        | --       |
| NESTEROV-bs_Newton | CURLY10   | 10000 | 24.412189245224        | 5000   | -1003116.5889542006     | 5.420066665497801      | 56250    | 5001     | 0        | --        | --       |
| scipy_lbfgs        | CURLY10   | 10000 | 16.72784948348999      | 5000   | -1003162.6317177769     | 0.02669290314410762    | 5154     | 5154     | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | CURLY20   | 10000 | 25.751307725906372     | 5000   | -1003159.2333277857     | 0.4038622180174663     | 10003    | 10001    | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | CURLY20   | 10000 | 24.298461198806763     | 5000   | -1003158.7103497862     | 0.05979729171240908    | 22503    | 5002     | 989      | --        | --       |
| NESTEROV-bs_dfbox1 | CURLY20   | 10000 | 81.75451517105103      | 5000   | -1003158.9371681483     | 0.7859436486419171     | 46741    | 41289    | 576      | --        | --       |
| NESTEROV-bs_lbfgs  | CURLY20   | 10000 | 30.264049291610718     | 5000   | -1003154.6988080845     | 0.10753622076844405    | 53386    | 5002     | 0        | --        | --       |
| NESTEROV-bs_Newton | CURLY20   | 10000 | 42.302552223205566     | 5000   | -1003105.3962568383     | 5.011634185172879      | 62295    | 5001     | 0        | --        | --       |
| scipy_lbfgs        | CURLY20   | 10000 | 19.920624494552612     | 5000   | -1003162.2728929527     | 0.07618211283969285    | 5124     | 5124     | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | DIXMAANA1 | 3000  | 0.2621321678161621     | 237    | 1.0000002187108268      | 0.0009389325420179533  | 476      | 475      | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | DIXMAANA1 | 3000  | 0.01403498649597168    | 5      | 1.0000043742206721      | 9.884123305927342e-05  | 54       | 7        | 1        | --        | --       |
| NESTEROV-bs_dfbox1 | DIXMAANA1 | 3000  | 0.06165361404418945    | 8      | 1.000000052590381       | 0.00044680860122016353 | 104      | 110      | 1        | --        | --       |
| NESTEROV-bs_lbfgs  | DIXMAANA1 | 3000  | 0.01386117935180664    | 4      | 1.00002092452885        | 0.0002795041527285792  | 45       | 6        | 0        | --        | --       |
| NESTEROV-bs_Newton | DIXMAANA1 | 3000  | 0.015150785446166992   | 5      | 1.0003483552925592      | 0.0007955552744314219  | 61       | 6        | 0        | --        | --       |
| scipy_lbfgs        | DIXMAANA1 | 3000  | 0.013462305068969727   | 9      | 1.0002602369299431      | 0.0008019704517380876  | 11       | 11       | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | DIXMAANB  | 3000  | 0.5747525691986084     | 355    | 1.0000002395743266      | 0.0009816292661333854  | 712      | 711      | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | DIXMAANB  | 3000  | 0.018692970275878906   | 5      | 1.0000000034467227      | 9.924839936427724e-06  | 56       | 7        | 1        | --        | --       |
| NESTEROV-bs_dfbox1 | DIXMAANB  | 3000  | 0.06094074249267578    | 6      | 1.000000042070727       | 0.00041003430892642273 | 72       | 76       | 1        | --        | --       |
| NESTEROV-bs_lbfgs  | DIXMAANB  | 3000  | 0.017947912216186523   | 4      | 1.0000001737073465      | 5.248471387040017e-05  | 45       | 6        | 0        | --        | --       |
| NESTEROV-bs_Newton | DIXMAANB  | 3000  | 0.0373382568359375     | 9      | 1.0000062769577414      | 0.0005852889197502572  | 110      | 10       | 0        | --        | --       |
| scipy_lbfgs        | DIXMAANB  | 3000  | 0.016460895538330078   | 9      | 1.0000100938776726      | 0.0006158030962490976  | 11       | 11       | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | DIXMAANC  | 3000  | 0.9692659378051758     | 601    | 1.0000002026488108      | 0.0009209848366370192  | 1204     | 1203     | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | DIXMAANC  | 3000  | 0.014722347259521484   | 4      | 1.0000020213169598      | 0.00035791189425286635 | 43       | 6        | 1        | --        | --       |
| NESTEROV-bs_dfbox1 | DIXMAANC  | 3000  | 0.07114315032958984    | 7      | 1.0000000145751384      | 0.00023481937601143037 | 84       | 89       | 1        | --        | --       |
| NESTEROV-bs_lbfgs  | DIXMAANC  | 3000  | 0.01854085922241211    | 4      | 1.0000034544750673      | 0.0004595078624813489  | 48       | 6        | 0        | --        | --       |
| NESTEROV-bs_Newton | DIXMAANC  | 3000  | 0.043233394622802734   | 11     | 1.000000803611163       | 0.00042560463797562356 | 129      | 12       | 0        | --        | --       |
| scipy_lbfgs        | DIXMAANC  | 3000  | 0.018560409545898438   | 11     | 1.0000001567050585      | 8.299074456518169e-05  | 13       | 13       | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | DIXMAAND  | 3000  | 1.6617789268493652     | 1034   | 1.0000001981340754      | 0.0009459097043317137  | 2070     | 2069     | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | DIXMAAND  | 3000  | 0.019637584686279297   | 6      | 1.0000011359752388      | 0.0006634332483457027  | 58       | 8        | 1        | --        | --       |
| NESTEROV-bs_dfbox1 | DIXMAAND  | 3000  | 0.06119585037231445    | 7      | 1.0000000000163294      | 8.171922234495458e-06  | 73       | 77       | 1        | --        | --       |
| NESTEROV-bs_lbfgs  | DIXMAAND  | 3000  | 0.02236461639404297    | 5      | 1.0000096213609453      | 0.0004568528007810859  | 58       | 7        | 0        | --        | --       |
| NESTEROV-bs_Newton | DIXMAAND  | 3000  | 0.03281426429748535    | 8      | 1.0000030109106968      | 0.0005885049721969774  | 98       | 9        | 0        | --        | --       |
| scipy_lbfgs        | DIXMAAND  | 3000  | 0.050137996673583984   | 12     | 1.0000063122524319      | 0.0007019886026335744  | 14       | 14       | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | DIXMAANE1 | 3000  | 1.7820017337799072     | 1605   | 1.0000331513806593      | 0.0009986252289363045  | 3212     | 3211     | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | DIXMAANE1 | 3000  | 0.15466094017028809    | 102    | 1.001083836210488       | 0.0009121004839519583  | 591      | 104      | 17       | --        | --       |
| NESTEROV-bs_dfbox1 | DIXMAANE1 | 3000  | 6.57594108581543       | 844    | 1.0003876927202         | 0.0009989030552937143  | 10032    | 10861    | 3        | --        | --       |
| NESTEROV-bs_lbfgs  | DIXMAANE1 | 3000  | 0.4811058044433594     | 197    | 1.0012128015664494      | 0.0009436297868853039  | 1374     | 199      | 2        | --        | --       |
| NESTEROV-bs_Newton | DIXMAANE1 | 3000  | 0.35773515701293945    | 118    | 1.0011079888885515      | 0.000941734730292519   | 1415     | 119      | 0        | --        | --       |
| scipy_lbfgs        | DIXMAANE1 | 3000  | 0.07973027229309082    | 76     | 1.001214354221325       | 0.00087420754578069    | 81       | 81       | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | DIXMAANF  | 3000  | 1.6660594940185547     | 1034   | 1.0000188378800265      | 0.000998436653596822   | 2070     | 2069     | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | DIXMAANF  | 3000  | 0.056104421615600586   | 24     | 1.0002069211474192      | 0.0009970390735900764  | 160      | 26       | 4        | --        | --       |
