| Algorithm         | prob       | n      | t                      | n_it   | f_opt                    | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
| QPS-Newton_Matteo | CURLY30    | 10000  | 16.694796085357666     | 5000   | -1003162.1196879193      | 0.10186468528167249     | 15003    | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | CVXBQP1    | 10000  | 9.763757467269897      | 5000   | 0.3870125119257012       | 2.773329974366983       | 20001    | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | CVXBQP1    | 10000  | 3.074422836303711      | 2248   | 1.2723711732706353e-06   | 0.0009960617366643206   | 6753     | 2249     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | CYCLIC3LS  | 100002 | 149.51428699493408     | 5000   | 709188285.2617295        | 13932657.432276638      | 20015    | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | CYCLIC3LS  | 100002 | 114.87511134147644     | 5000   | 1169618.4880713082       | 31850.499984532053      | 15130    | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | CYCLOOCFLS | 29996  | 8.018633365631104      | 890    | 0.00024940527355571656   | 0.0009992922423622205   | 3568     | 891      | 0        | 0         | ----     |
| QPS-Newton_Matteo | CYCLOOCFLS | 29996  | 35.43075656890869      | 5000   | 2189.672349127896        | 3.946181911924236       | 15688    | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | CYCLOOCTLS | 29996  | 7.919857025146484      | 883    | 0.0002447740721260747    | 0.0009943750448039145   | 3541     | 884      | 0        | 0         | ----     |
| QPS-Newton_Matteo | CYCLOOCTLS | 29996  | 35.186578035354614     | 5000   | 2185.9804635958276       | 2.8514321223349284      | 15665    | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | DEGDIAG    | 100001 | 0.0449671745300293     | 3      | 5.738876027635395e-19    | 1.4553094133411205e-11  | 14       | 4        | 0        | 0         | ----     |
| QPS-Newton_Matteo | DEGDIAG    | 100001 | 0.02130722999572754    | 2      | 1.661171474547345e-11    | 1.8227204190424118e-08  | 7        | 3        | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | DEGTRID    | 100001 | 2.519594192504883      | 115    | -99999.23574084052       | 0.0009887659453331477   | 461      | 116      | 0        | 0         | ----     |
| QPS-Newton_Matteo | DEGTRID    | 100001 | 0.2916731834411621     | 18     | -99999.49999348707       | 0.0009066226613907435   | 54       | 19       | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | ARWHEAD    | 5000   | 0.018621444702148438   | 10     | 1.409869250357243e-05    | 0.0009873382493990057   | 41       | 11       | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARWHEAD    | 5000   | 0.008470773696899414   | 5      | 7.348206487733933e-10    | 0.0009245300586747377   | 20       | 6        | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | BDQRTIC    | 5000   | 8.977555513381958      | 5000   | 20006.268242484934       | 0.40623378019250667     | 20001    | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | BDQRTIC    | 5000   | 24.89383363723755      | 5000   | 20006.25687881373        | 0.003579644956931032    | 98507    | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | BROYDN7D   | 5000   | 0.9361851215362549     | 290    | 1741.3446405142283       | 0.0009381576539652103   | 1166     | 291      | 0        | 0         | ----     |
| QPS-Newton_Matteo | BROYDN7D   | 5000   | 3.677368402481079      | 1412   | 2006.6215370873565       | 0.0007335795210946516   | 4237     | 1413     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | BRYBND     | 5000   | 0.06584024429321289    | 31     | 2.125630690085682e-07    | 0.0006908393176259113   | 125      | 32       | 0        | 0         | ----     |
| QPS-Newton_Matteo | BRYBND     | 5000   | 0.09189605712890625    | 55     | 2.8393090133028705e-08   | 0.0009707544345782327   | 168      | 56       | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | CHAINWOO   | 4000   | 8.108649253845215      | 5000   | 4.575319462713471        | 0.029628403224460864    | 20006    | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | CHAINWOO   | 4000   | 0.23966026306152344    | 185    | 4.5742800944843784       | 0.0008948746169877841   | 576      | 186      | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
