| Algorithm          | prob      | n     | t                      | n_it   | f_opt                   | g_norm                 | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
| NESTEROV-bs_dfbox  | BROYDN7D  | 5000  | 0.19823217391967773    | 43     | 3441.3459129434395      | 0.0006061020722203381  | 211      | 45       | 8        | --        | --       |
| NESTEROV-bs_dfbox1 | BROYDN7D  | 5000  | 73.61201667785645      | 3756   | 1864.1456871409684      | 0.00045122354477038803 | 41617    | 43647    | 166      | --        | --       |
| NESTEROV-bs_lbfgs  | BROYDN7D  | 5000  | 28.622852563858032     | 5000   | 2961.505710627811       | 1.4366602499945933     | 50239    | 5002     | 0        | --        | --       |
| NESTEROV-bs_Newton | BROYDN7D  | 5000  | 0.49392175674438477    | 76     | 3441.345914021133       | 0.0009257899505672462  | 932      | 77       | 0        | --        | --       |
| scipy_lbfgs        | BROYDN7D  | 5000  | 3.405940532684326      | 1634   | 1988.601037401036       | 0.0007008963137673518  | 1675     | 1675     | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | BRYBND    | 5000  | 1.2934391498565674     | 637    | 1.6839308150744586e-08  | 0.0008237180451079293  | 1278     | 1275     | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | BRYBND    | 5000  | 0.16756796836853027    | 66     | 4.984280232840438e-07   | 0.0009975754861393466  | 464      | 68       | 10       | --        | --       |
| NESTEROV-bs_dfbox1 | BRYBND    | 5000  | 0.2181546688079834     | 25     | 4.624820821134683e-09   | 0.0005218695146661691  | 217      | 223      | 3        | --        | --       |
| NESTEROV-bs_lbfgs  | BRYBND    | 5000  | 0.12376213073730469    | 28     | 6.98607264135822e-07    | 0.0009468820569927734  | 345      | 30       | 1        | --        | --       |
| NESTEROV-bs_Newton | BRYBND    | 5000  | 0.3520064353942871     | 83     | 1.548975426849146e-08   | 0.0004286863201960538  | 1088     | 84       | 0        | --        | --       |
| scipy_lbfgs        | BRYBND    | 5000  | 0.037660837173461914   | 22     | 6.832638193845875e-07   | 0.0009881969267761873  | 25       | 25       | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | CHAINWOO  | 4000  | 7.240312814712524      | 5000   | 12.421744921167113      | 0.007752125758904661   | 10002    | 10001    | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | CHAINWOO  | 4000  | 0.7345740795135498     | 440    | 1.0000008992955023      | 0.0008111635341851553  | 2450     | 442      | 79       | --        | --       |
| NESTEROV-bs_dfbox1 | CHAINWOO  | 4000  | 56.75108504295349      | 5000   | 15098.85796538374       | 14.883252516445511     | 49975    | 48705    | 422      | --        | --       |
| NESTEROV-bs_lbfgs  | CHAINWOO  | 4000  | 7.662212610244751      | 1520   | 1.0000006904552632      | 0.0005114038221407657  | 16292    | 1522     | 6        | --        | --       |
| NESTEROV-bs_Newton | CHAINWOO  | 4000  | 2.595883846282959      | 718    | 1.0000008401303513      | 0.0009503657450213865  | 9038     | 719      | 0        | --        | --       |
| scipy_lbfgs        | CHAINWOO  | 4000  | 6.011723756790161      | 5000   | 10334.27956342311       | 13.257870554912        | 5398     | 5398     | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | CLPLATEB  | 4970  | 0.002317190170288086   | 0      | 0.0                     | 0.012037356830860726   | 1        | 2        | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | CLPLATEB  | 4970  | 0.01186227798461914    | 4      | -0.0001383028979968505  | 0.0008566225162469762  | 21       | 6        | 1        | --        | --       |
| NESTEROV-bs_dfbox1 | CLPLATEB  | 4970  | 13.158212900161743     | 2246   | -0.004102483179492949   | 0.000999840035919851   | 9450     | 9444     | 450      | --        | --       |
