| Algorithm          | prob      | n     | t                      | n_it   | f_opt                   | g_norm                 | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
| NESTEROV-bs_dfbox1 | CLPLATEB  | 4970  | 1.460547924041748      | 19     | -0.0006938937176211104  | 0.0007157359680794382  | 1455     | 1474     | 0        | --        | --       |
| NESTEROV-bs_lbfgs  | CLPLATEB  | 4970  | 0.007284402847290039   | 4      | -0.0001383028979968505  | 0.0008566225162469762  | 13       | 6        | 1        | --        | --       |
| NESTEROV-bs_Newton | CLPLATEB  | 4970  | 0.03602433204650879    | 8      | -0.0001848066675744285  | 0.0007779878647288662  | 92       | 9        | 0        | --        | --       |
| scipy_lbfgs        | CLPLATEB  | 4970  | 0.009911060333251953   | 2      | -0.0001261852420210387  | 0.0007400626523288994  | 5        | 5        | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | CLPLATEC  | 4970  | 0.0022995471954345703  | 0      | 0.0                     | 0.09900505037623081    | 1        | 2        | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | CLPLATEC  | 4970  | 1.6079812049865723     | 639    | -8.658402831739602e-05  | 0.0009456922391165907  | 3274     | 641      | 123      | --        | --       |
| NESTEROV-bs_dfbox1 | CLPLATEC  | 4970  | 2.349698781967163      | 456    | -9.250002439057357e-05  | 0.000993530107026032   | 2513     | 1783     | 87       | --        | --       |
| NESTEROV-bs_lbfgs  | CLPLATEC  | 4970  | 1.271371841430664      | 434    | -8.227637594918812e-05  | 0.0009494840086473231  | 2539     | 436      | 69       | --        | --       |
| NESTEROV-bs_Newton | CLPLATEC  | 4970  | 25.542577743530273     | 5000   | -5.336218359151339e-05  | 0.00235955053301168    | 54302    | 5001     | 0        | --        | --       |
| scipy_lbfgs        | CLPLATEC  | 4970  | 7.763267755508423      | 5000   | -0.00401897974443495    | 0.010285066707587434   | 5132     | 5132     | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | COSINE    | 10000 | 0.07080960273742676    | 19     | -9998.999999999918      | 9.843596658460196e-05  | 51       | 39       | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | COSINE    | 10000 | 0.18473196029663086    | 7      | -9998.999999999865      | 0.00010270781096941451 | 354      | 9        | 0        | --        | --       |
| NESTEROV-bs_dfbox1 | COSINE    | 10000 | 0.4719252586364746     | 7      | -9998.99999999703       | 0.0005815330819526777  | 310      | 317      | 0        | --        | --       |
| NESTEROV-bs_lbfgs  | COSINE    | 10000 | 0.03275728225708008    | 6      | -9998.999999933632      | 0.00024113183296839573 | 55       | 8        | 1        | --        | --       |
| NESTEROV-bs_Newton | COSINE    | 10000 | 0.07189774513244629    | 10     | -9998.999999868127      | 0.0007081626182463189  | 128      | 11       | 0        | --        | --       |
| scipy_lbfgs        | COSINE    | 10000 | 0.041367292404174805   | 9      | -9998.999999997803      | 0.00013859219885436656 | 18       | 18       | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | CRAGGLVY  | 5000  | 12.722649335861206     | 5000   | 1688.2160598472844      | 0.06406048960195435    | 10004    | 10001    | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | CRAGGLVY  | 5000  | 3.6005818843841553     | 118    | 1688.2153110123452      | 0.0009558763488540303  | 9023     | 120      | 1        | --        | --       |
| NESTEROV-bs_dfbox1 | CRAGGLVY  | 5000  | 5.201131105422974      | 69     | 1688.2153106181775      | 0.0009962529357323488  | 4230     | 4281     | 1        | --        | --       |
| NESTEROV-bs_lbfgs  | CRAGGLVY  | 5000  | 0.4942588806152344     | 102    | 1688.2153105498849      | 0.0008423151126451117  | 1031     | 104      | 5        | --        | --       |
| NESTEROV-bs_Newton | CRAGGLVY  | 5000  | 1.0444855690002441     | 185    | 1688.2153103703456      | 0.0009065276216808985  | 2256     | 186      | 0        | --        | --       |
