prob,t,n_it,f_opt,g_norm,fevals,gevals,tf,tg,to
PENALTY1,0.013944864273071287,63,0.009686175527371901,1.485904335140847e-07,75.0,75,0.002180814743041992,0.004504680633544922,0.0
POWELLSG,0.04865455627441406,43,4.876838129828481e-09,9.89020606219051e-07,46.0,46,0.00480961799621582,0.008695125579833984,0.0
POWER,0.3194446563720703,415,1.8420644879692159e-09,9.742664526262587e-07,423.0,423,0.02867865562438965,0.05340409278869629,0.0
QUARTC,0.026409387588500977,49,1.3381438021937328e-06,6.207826059837368e-07,57.0,57,0.0028481483459472656,0.004848957061767578,0.0
SCHMVETT,0.04786181449890137,45,-14993.999999999998,1.94239443275723e-06,48.0,48,0.007504940032958984,0.01919841766357422,0.0
SINQUAD,0.04021430015563965,29,-6757013.757336048,0.020382933034056805,73.0,73,0.007677793502807617,0.019026994705200195,0.0
SINQUAD2,0.24849534034729004,292,1.3454094670006383e-14,1.9786654588822167e-07,395.0,395,0.040083885192871094,0.10645389556884766,0.0
SPARSINE,44.856154680252075,62213,1.252362511473143e-09,9.614324093388394e-07,64492.0,64492,5.1258931159973145,19.307913064956665,0.0
SPARSQUR,0.04740643501281738,34,1.1778198568855934e-08,4.1487943041138883e-07,38.0,38,0.005499124526977539,0.022339344024658203,0.0
SPINLS,0.16276049613952634,565,1.0379701310499274,12.184643512153109,660.0,660,0.026712417602539062,0.10343670845031738,0.0
SPMSRTLS,0.17791008949279785,222,4.924159828936578e-11,8.860211921518577e-07,232.0,232,0.026519775390625,0.06909584999084473,0.0
SROSENBR,0.03356027603149414,50,1.753946229233627e-18,3.056340426494391e-08,63.0,63,0.003504037857055664,0.007531166076660156,0.0
SSBRYBND,7.114023923873901,8752,3.3619378254557044e-14,9.915618225529234e-07,8989.0,8989,1.0421719551086426,3.0316965579986572,0.0
SSCOSINE,, nan, nan, nan,, nan, nan, nan,, nan
TOINTGSS,0.015761375427246094,16,10.002000799679804,1.0291154582190461e-07,20.0,20,0.0021448135375976562,0.00464940071105957,0.0
TQUARTIC,0.012804508209228516,19,1.30560972338774e-17,4.628800278148091e-07,27.0,27,0.0016412734985351562,0.0038597583770751953,0.0
TRIDIA,0.6838161945343018,1463,6.933104645641128e-13,9.94651265351365e-07,1501.0,1501,0.06542778015136719,0.1150362491607666,0.0
VAREIGVL,0.0222775936126709,22,2.126893488943354e-13,6.432604576107078e-07,27.0,27,0.0034432411193847656,0.010861873626708984,0.0
WOODS,0.03207254409790039,89,1.639760149850108e-13,2.7436274508074864e-07,116.0,116,0.005699634552001953,0.01258707046508789,0.0
